checkpoint,kth_intermediate_answer,proportion_found,experiment,found_count,total_questions,complexity
2000,2,0.6382978723404256,Phi4-mini-reasoning_0922__curr=random__training_seed=1,180,282,2
2000,1,0.9071428571428571,Phi4-mini-reasoning_0922__curr=random__training_seed=1,127,140,3
2000,2,0.9071428571428571,Phi4-mini-reasoning_0922__curr=random__training_seed=1,127,140,3
2000,3,0.6428571428571429,Phi4-mini-reasoning_0922__curr=random__training_seed=1,90,140,3
2000,1,0.8589743589743589,Phi4-mini-reasoning_0922__curr=random__training_seed=1,67,78,4
2000,2,0.782051282051282,Phi4-mini-reasoning_0922__curr=random__training_seed=1,61,78,4
2000,3,0.8333333333333334,Phi4-mini-reasoning_0922__curr=random__training_seed=1,65,78,4
2000,4,0.5769230769230769,Phi4-mini-reasoning_0922__curr=random__training_seed=1,45,78,4
2500,1,0.9184397163120568,Phi4-mini-reasoning_0922__curr=random__training_seed=1,259,282,2
2500,2,0.624113475177305,Phi4-mini-reasoning_0922__curr=random__training_seed=1,176,282,2
2500,1,0.9214285714285714,Phi4-mini-reasoning_0922__curr=random__training_seed=1,129,140,3
2500,2,0.8571428571428571,Phi4-mini-reasoning_0922__curr=random__training_seed=1,120,140,3
2500,3,0.6928571428571428,Phi4-mini-reasoning_0922__curr=random__training_seed=1,97,140,3
2500,1,0.8076923076923077,Phi4-mini-reasoning_0922__curr=random__training_seed=1,63,78,4
2500,2,0.8076923076923077,Phi4-mini-reasoning_0922__curr=random__training_seed=1,63,78,4
2500,3,0.8076923076923077,Phi4-mini-reasoning_0922__curr=random__training_seed=1,63,78,4
2500,4,0.5897435897435898,Phi4-mini-reasoning_0922__curr=random__training_seed=1,46,78,4
3000,1,0.9290780141843972,Phi4-mini-reasoning_0922__curr=random__training_seed=1,262,282,2
3000,2,0.6099290780141844,Phi4-mini-reasoning_0922__curr=random__training_seed=1,172,282,2
3000,1,0.9428571428571428,Phi4-mini-reasoning_0922__curr=random__training_seed=1,132,140,3
3000,2,0.9571428571428572,Phi4-mini-reasoning_0922__curr=random__training_seed=1,134,140,3
3000,3,0.7214285714285714,Phi4-mini-reasoning_0922__curr=random__training_seed=1,101,140,3
3000,1,0.8589743589743589,Phi4-mini-reasoning_0922__curr=random__training_seed=1,67,78,4
3000,2,0.8846153846153846,Phi4-mini-reasoning_0922__curr=random__training_seed=1,69,78,4
3000,3,0.8333333333333334,Phi4-mini-reasoning_0922__curr=random__training_seed=1,65,78,4
3000,4,0.5641025641025641,Phi4-mini-reasoning_0922__curr=random__training_seed=1,44,78,4
3500,1,0.9290780141843972,Phi4-mini-reasoning_0922__curr=random__training_seed=1,262,282,2
3500,2,0.6312056737588653,Phi4-mini-reasoning_0922__curr=random__training_seed=1,178,282,2
3500,1,0.9214285714285714,Phi4-mini-reasoning_0922__curr=random__training_seed=1,129,140,3
3500,2,0.9142857142857143,Phi4-mini-reasoning_0922__curr=random__training_seed=1,128,140,3
3500,3,0.6785714285714286,Phi4-mini-reasoning_0922__curr=random__training_seed=1,95,140,3
3500,1,0.8589743589743589,Phi4-mini-reasoning_0922__curr=random__training_seed=1,67,78,4
3500,2,0.7564102564102564,Phi4-mini-reasoning_0922__curr=random__training_seed=1,59,78,4
3500,3,0.8461538461538461,Phi4-mini-reasoning_0922__curr=random__training_seed=1,66,78,4
3500,4,0.6025641025641025,Phi4-mini-reasoning_0922__curr=random__training_seed=1,47,78,4
4000,1,0.9361702127659575,Phi4-mini-reasoning_0922__curr=random__training_seed=1,264,282,2
4000,2,0.6312056737588653,Phi4-mini-reasoning_0922__curr=random__training_seed=1,178,282,2
4000,1,0.9285714285714286,Phi4-mini-reasoning_0922__curr=random__training_seed=1,130,140,3
4000,2,0.9142857142857143,Phi4-mini-reasoning_0922__curr=random__training_seed=1,128,140,3
4000,3,0.6714285714285714,Phi4-mini-reasoning_0922__curr=random__training_seed=1,94,140,3
4000,1,0.9358974358974359,Phi4-mini-reasoning_0922__curr=random__training_seed=1,73,78,4
4000,2,0.8205128205128205,Phi4-mini-reasoning_0922__curr=random__training_seed=1,64,78,4
4000,3,0.8333333333333334,Phi4-mini-reasoning_0922__curr=random__training_seed=1,65,78,4
4000,4,0.6538461538461539,Phi4-mini-reasoning_0922__curr=random__training_seed=1,51,78,4
4500,1,0.9432624113475178,Phi4-mini-reasoning_0922__curr=random__training_seed=1,266,282,2
4500,2,0.624113475177305,Phi4-mini-reasoning_0922__curr=random__training_seed=1,176,282,2
4500,1,0.9428571428571428,Phi4-mini-reasoning_0922__curr=random__training_seed=1,132,140,3
4500,2,0.9428571428571428,Phi4-mini-reasoning_0922__curr=random__training_seed=1,132,140,3
4500,3,0.6857142857142857,Phi4-mini-reasoning_0922__curr=random__training_seed=1,96,140,3
4500,1,0.9102564102564102,Phi4-mini-reasoning_0922__curr=random__training_seed=1,71,78,4
4500,2,0.782051282051282,Phi4-mini-reasoning_0922__curr=random__training_seed=1,61,78,4
4500,3,0.8461538461538461,Phi4-mini-reasoning_0922__curr=random__training_seed=1,66,78,4
4500,4,0.5256410256410257,Phi4-mini-reasoning_0922__curr=random__training_seed=1,41,78,4
5000,1,0.9361702127659575,Phi4-mini-reasoning_0922__curr=random__training_seed=1,264,282,2
5000,2,0.624113475177305,Phi4-mini-reasoning_0922__curr=random__training_seed=1,176,282,2
5000,1,0.9214285714285714,Phi4-mini-reasoning_0922__curr=random__training_seed=1,129,140,3
5000,2,0.9285714285714286,Phi4-mini-reasoning_0922__curr=random__training_seed=1,130,140,3
5000,3,0.7571428571428571,Phi4-mini-reasoning_0922__curr=random__training_seed=1,106,140,3
5000,1,0.8205128205128205,Phi4-mini-reasoning_0922__curr=random__training_seed=1,64,78,4
5000,2,0.8205128205128205,Phi4-mini-reasoning_0922__curr=random__training_seed=1,64,78,4
5000,3,0.7948717948717948,Phi4-mini-reasoning_0922__curr=random__training_seed=1,62,78,4
5000,4,0.5128205128205128,Phi4-mini-reasoning_0922__curr=random__training_seed=1,40,78,4
10000,1,0.925531914893617,Phi4-mini-reasoning_0922__curr=random__training_seed=1,261,282,2
10000,2,0.624113475177305,Phi4-mini-reasoning_0922__curr=random__training_seed=1,176,282,2
10000,1,0.9142857142857143,Phi4-mini-reasoning_0922__curr=random__training_seed=1,128,140,3
10000,2,0.9142857142857143,Phi4-mini-reasoning_0922__curr=random__training_seed=1,128,140,3
10000,3,0.6428571428571429,Phi4-mini-reasoning_0922__curr=random__training_seed=1,90,140,3
10000,1,0.8333333333333334,Phi4-mini-reasoning_0922__curr=random__training_seed=1,65,78,4
10000,2,0.8333333333333334,Phi4-mini-reasoning_0922__curr=random__training_seed=1,65,78,4
10000,3,0.8333333333333334,Phi4-mini-reasoning_0922__curr=random__training_seed=1,65,78,4
10000,4,0.5128205128205128,Phi4-mini-reasoning_0922__curr=random__training_seed=1,40,78,4
500,1,0.19858156028368795,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,56,282,2
500,2,0.1879432624113475,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,53,282,2
500,1,0.05,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,7,140,3
500,2,0.07857142857142857,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,11,140,3
500,3,0.22857142857142856,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,32,140,3
500,1,0.0641025641025641,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,5,78,4
500,2,0.02564102564102564,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2,78,4
500,3,0.11538461538461539,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,9,78,4
500,4,0.24358974358974358,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,19,78,4
1000,1,0.18085106382978725,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,51,282,2
1000,2,0.1702127659574468,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,48,282,2
1000,1,0.04285714285714286,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,6,140,3
1000,2,0.07142857142857142,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10,140,3
1000,3,0.21428571428571427,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,30,140,3
1000,1,0.038461538461538464,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3,78,4
1000,2,0.02564102564102564,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2,78,4
1000,3,0.14102564102564102,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,11,78,4
1000,4,0.20512820512820512,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,16,78,4
1500,1,0.1773049645390071,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,50,282,2
1500,2,0.19858156028368795,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,56,282,2
1500,1,0.05,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,7,140,3
1500,2,0.07142857142857142,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10,140,3
1500,3,0.2357142857142857,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,33,140,3
1500,1,0.0641025641025641,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,5,78,4
1500,2,0.0,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,78,4
1500,3,0.08974358974358974,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,7,78,4
1500,4,0.21794871794871795,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,17,78,4
2000,1,0.19858156028368795,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,56,282,2
2000,2,0.19148936170212766,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,54,282,2
2000,1,0.04285714285714286,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,6,140,3
2000,2,0.07857142857142857,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,11,140,3
2000,3,0.24285714285714285,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,34,140,3
2000,1,0.05128205128205128,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4,78,4
2000,2,0.02564102564102564,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2,78,4
2000,3,0.10256410256410256,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,8,78,4
2000,4,0.1794871794871795,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,14,78,4
2500,1,0.17375886524822695,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,49,282,2
2500,2,0.21631205673758866,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,61,282,2
2500,1,0.03571428571428571,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,5,140,3
2500,2,0.06428571428571428,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,9,140,3
2500,3,0.2357142857142857,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,33,140,3
2500,1,0.038461538461538464,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3,78,4
2500,2,0.01282051282051282,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1,78,4
2500,3,0.08974358974358974,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,7,78,4
2500,4,0.20512820512820512,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,16,78,4
3000,1,0.16666666666666666,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,47,282,2
3000,2,0.21631205673758866,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,61,282,2
3000,1,0.05714285714285714,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,8,140,3
3000,2,0.07142857142857142,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10,140,3
3000,3,0.25,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,35,140,3
3000,1,0.038461538461538464,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3,78,4
3000,2,0.0,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,78,4
3000,3,0.0641025641025641,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,5,78,4
3000,4,0.21794871794871795,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,17,78,4
3500,1,0.1595744680851064,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,45,282,2
3500,2,0.19148936170212766,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,54,282,2
3500,1,0.03571428571428571,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,5,140,3
3500,2,0.05714285714285714,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,8,140,3
3500,3,0.24285714285714285,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,34,140,3
3500,1,0.02564102564102564,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2,78,4
3500,2,0.0,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,78,4
3500,3,0.10256410256410256,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,8,78,4
3500,4,0.19230769230769232,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,15,78,4
4000,1,0.16666666666666666,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,47,282,2
4000,2,0.19148936170212766,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,54,282,2
4000,1,0.04285714285714286,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,6,140,3
4000,2,0.05714285714285714,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,8,140,3
4000,3,0.25,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,35,140,3
4000,1,0.038461538461538464,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3,78,4
4000,2,0.0,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,78,4
4000,3,0.08974358974358974,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,7,78,4
4000,4,0.19230769230769232,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,15,78,4
10000,1,0.1702127659574468,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,48,282,2
10000,2,0.1950354609929078,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,55,282,2
10000,1,0.03571428571428571,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,5,140,3
10000,2,0.05,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,7,140,3
10000,3,0.24285714285714285,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,34,140,3
10000,1,0.038461538461538464,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3,78,4
10000,2,0.0,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,78,4
10000,3,0.10256410256410256,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,8,78,4
10000,4,0.20512820512820512,Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,16,78,4
0,1,0.7659574468085106,Qwen3-0.6B_0913__curr=random__training_seed=1,216,282,2
0,2,0.2730496453900709,Qwen3-0.6B_0913__curr=random__training_seed=1,77,282,2
0,1,0.7857142857142857,Qwen3-0.6B_0913__curr=random__training_seed=1,110,140,3
0,2,0.6357142857142857,Qwen3-0.6B_0913__curr=random__training_seed=1,89,140,3
0,3,0.29285714285714287,Qwen3-0.6B_0913__curr=random__training_seed=1,41,140,3
0,1,0.6794871794871795,Qwen3-0.6B_0913__curr=random__training_seed=1,53,78,4
0,2,0.5,Qwen3-0.6B_0913__curr=random__training_seed=1,39,78,4
0,3,0.5256410256410257,Qwen3-0.6B_0913__curr=random__training_seed=1,41,78,4
0,4,0.19230769230769232,Qwen3-0.6B_0913__curr=random__training_seed=1,15,78,4
500,1,0.8617021276595744,Qwen3-0.6B_0913__curr=random__training_seed=1,243,282,2
500,2,0.41134751773049644,Qwen3-0.6B_0913__curr=random__training_seed=1,116,282,2
500,1,0.7928571428571428,Qwen3-0.6B_0913__curr=random__training_seed=1,111,140,3
500,2,0.7214285714285714,Qwen3-0.6B_0913__curr=random__training_seed=1,101,140,3
500,3,0.37142857142857144,Qwen3-0.6B_0913__curr=random__training_seed=1,52,140,3
500,1,0.7564102564102564,Qwen3-0.6B_0913__curr=random__training_seed=1,59,78,4
500,2,0.6282051282051282,Qwen3-0.6B_0913__curr=random__training_seed=1,49,78,4
500,3,0.6410256410256411,Qwen3-0.6B_0913__curr=random__training_seed=1,50,78,4
500,4,0.32051282051282054,Qwen3-0.6B_0913__curr=random__training_seed=1,25,78,4
1000,1,0.8687943262411347,Qwen3-0.6B_0913__curr=random__training_seed=1,245,282,2
1000,2,0.4645390070921986,Qwen3-0.6B_0913__curr=random__training_seed=1,131,282,2
1000,1,0.8071428571428572,Qwen3-0.6B_0913__curr=random__training_seed=1,113,140,3
1000,2,0.7571428571428571,Qwen3-0.6B_0913__curr=random__training_seed=1,106,140,3
1000,3,0.4857142857142857,Qwen3-0.6B_0913__curr=random__training_seed=1,68,140,3
1000,1,0.7435897435897436,Qwen3-0.6B_0913__curr=random__training_seed=1,58,78,4
1000,2,0.5897435897435898,Qwen3-0.6B_0913__curr=random__training_seed=1,46,78,4
1000,3,0.7051282051282052,Qwen3-0.6B_0913__curr=random__training_seed=1,55,78,4
1000,4,0.3076923076923077,Qwen3-0.6B_0913__curr=random__training_seed=1,24,78,4
1500,1,0.8439716312056738,Qwen3-0.6B_0913__curr=random__training_seed=1,238,282,2
1500,2,0.4574468085106383,Qwen3-0.6B_0913__curr=random__training_seed=1,129,282,2
1500,1,0.7857142857142857,Qwen3-0.6B_0913__curr=random__training_seed=1,110,140,3
1500,2,0.7428571428571429,Qwen3-0.6B_0913__curr=random__training_seed=1,104,140,3
1500,3,0.39285714285714285,Qwen3-0.6B_0913__curr=random__training_seed=1,55,140,3
1500,1,0.7435897435897436,Qwen3-0.6B_0913__curr=random__training_seed=1,58,78,4
1500,2,0.5256410256410257,Qwen3-0.6B_0913__curr=random__training_seed=1,41,78,4
1500,3,0.6282051282051282,Qwen3-0.6B_0913__curr=random__training_seed=1,49,78,4
1500,4,0.3333333333333333,Qwen3-0.6B_0913__curr=random__training_seed=1,26,78,4
2000,1,0.8617021276595744,Qwen3-0.6B_0913__curr=random__training_seed=1,243,282,2
2000,2,0.46099290780141844,Qwen3-0.6B_0913__curr=random__training_seed=1,130,282,2
2000,1,0.7714285714285715,Qwen3-0.6B_0913__curr=random__training_seed=1,108,140,3
2000,2,0.7,Qwen3-0.6B_0913__curr=random__training_seed=1,98,140,3
2000,3,0.42142857142857143,Qwen3-0.6B_0913__curr=random__training_seed=1,59,140,3
2000,1,0.717948717948718,Qwen3-0.6B_0913__curr=random__training_seed=1,56,78,4
2000,2,0.5769230769230769,Qwen3-0.6B_0913__curr=random__training_seed=1,45,78,4
2000,3,0.6153846153846154,Qwen3-0.6B_0913__curr=random__training_seed=1,48,78,4
2000,4,0.41025641025641024,Qwen3-0.6B_0913__curr=random__training_seed=1,32,78,4
2500,1,0.8262411347517731,Qwen3-0.6B_0913__curr=random__training_seed=1,233,282,2
2500,2,0.41843971631205673,Qwen3-0.6B_0913__curr=random__training_seed=1,118,282,2
2500,1,0.8071428571428572,Qwen3-0.6B_0913__curr=random__training_seed=1,113,140,3
2500,2,0.6357142857142857,Qwen3-0.6B_0913__curr=random__training_seed=1,89,140,3
2500,3,0.37142857142857144,Qwen3-0.6B_0913__curr=random__training_seed=1,52,140,3
2500,1,0.6923076923076923,Qwen3-0.6B_0913__curr=random__training_seed=1,54,78,4
2500,2,0.5384615384615384,Qwen3-0.6B_0913__curr=random__training_seed=1,42,78,4
2500,3,0.5641025641025641,Qwen3-0.6B_0913__curr=random__training_seed=1,44,78,4
2500,4,0.34615384615384615,Qwen3-0.6B_0913__curr=random__training_seed=1,27,78,4
3000,1,0.8546099290780141,Qwen3-0.6B_0913__curr=random__training_seed=1,241,282,2
3000,2,0.4432624113475177,Qwen3-0.6B_0913__curr=random__training_seed=1,125,282,2
3000,1,0.8142857142857143,Qwen3-0.6B_0913__curr=random__training_seed=1,114,140,3
3000,2,0.7071428571428572,Qwen3-0.6B_0913__curr=random__training_seed=1,99,140,3
3000,3,0.4142857142857143,Qwen3-0.6B_0913__curr=random__training_seed=1,58,140,3
3000,1,0.8076923076923077,Qwen3-0.6B_0913__curr=random__training_seed=1,63,78,4
3000,2,0.6025641025641025,Qwen3-0.6B_0913__curr=random__training_seed=1,47,78,4
3000,3,0.6410256410256411,Qwen3-0.6B_0913__curr=random__training_seed=1,50,78,4
3000,4,0.358974358974359,Qwen3-0.6B_0913__curr=random__training_seed=1,28,78,4
3500,1,0.900709219858156,Qwen3-0.6B_0913__curr=random__training_seed=1,254,282,2
3500,2,0.5106382978723404,Qwen3-0.6B_0913__curr=random__training_seed=1,144,282,2
3500,1,0.8571428571428571,Qwen3-0.6B_0913__curr=random__training_seed=1,120,140,3
3500,2,0.7571428571428571,Qwen3-0.6B_0913__curr=random__training_seed=1,106,140,3
3500,3,0.45714285714285713,Qwen3-0.6B_0913__curr=random__training_seed=1,64,140,3
3500,1,0.8205128205128205,Qwen3-0.6B_0913__curr=random__training_seed=1,64,78,4
3500,2,0.6794871794871795,Qwen3-0.6B_0913__curr=random__training_seed=1,53,78,4
3500,3,0.7051282051282052,Qwen3-0.6B_0913__curr=random__training_seed=1,55,78,4
3500,4,0.5512820512820513,Qwen3-0.6B_0913__curr=random__training_seed=1,43,78,4
4000,1,0.9078014184397163,Qwen3-0.6B_0913__curr=random__training_seed=1,256,282,2
4000,2,0.5460992907801419,Qwen3-0.6B_0913__curr=random__training_seed=1,154,282,2
4000,1,0.8857142857142857,Qwen3-0.6B_0913__curr=random__training_seed=1,124,140,3
4000,2,0.8,Qwen3-0.6B_0913__curr=random__training_seed=1,112,140,3
4000,3,0.4928571428571429,Qwen3-0.6B_0913__curr=random__training_seed=1,69,140,3
4000,1,0.7692307692307693,Qwen3-0.6B_0913__curr=random__training_seed=1,60,78,4
4000,2,0.6153846153846154,Qwen3-0.6B_0913__curr=random__training_seed=1,48,78,4
4000,3,0.6923076923076923,Qwen3-0.6B_0913__curr=random__training_seed=1,54,78,4
4000,4,0.47435897435897434,Qwen3-0.6B_0913__curr=random__training_seed=1,37,78,4
5000,1,0.9078014184397163,Qwen3-0.6B_0913__curr=random__training_seed=1,256,282,2
5000,2,0.5035460992907801,Qwen3-0.6B_0913__curr=random__training_seed=1,142,282,2
5000,1,0.8785714285714286,Qwen3-0.6B_0913__curr=random__training_seed=1,123,140,3
5000,2,0.7857142857142857,Qwen3-0.6B_0913__curr=random__training_seed=1,110,140,3
5000,3,0.45,Qwen3-0.6B_0913__curr=random__training_seed=1,63,140,3
5000,1,0.8461538461538461,Qwen3-0.6B_0913__curr=random__training_seed=1,66,78,4
5000,2,0.6666666666666666,Qwen3-0.6B_0913__curr=random__training_seed=1,52,78,4
5000,3,0.7564102564102564,Qwen3-0.6B_0913__curr=random__training_seed=1,59,78,4
5000,4,0.5256410256410257,Qwen3-0.6B_0913__curr=random__training_seed=1,41,78,4
0,1,0.9184397163120568,Qwen3-1.7B_0913__curr=random__training_seed=1,259,282,2
0,2,0.5851063829787234,Qwen3-1.7B_0913__curr=random__training_seed=1,165,282,2
0,1,0.85,Qwen3-1.7B_0913__curr=random__training_seed=1,119,140,3
0,2,0.8714285714285714,Qwen3-1.7B_0913__curr=random__training_seed=1,122,140,3
0,3,0.5142857142857142,Qwen3-1.7B_0913__curr=random__training_seed=1,72,140,3
0,1,0.8717948717948718,Qwen3-1.7B_0913__curr=random__training_seed=1,68,78,4
0,2,0.7307692307692307,Qwen3-1.7B_0913__curr=random__training_seed=1,57,78,4
0,3,0.7435897435897436,Qwen3-1.7B_0913__curr=random__training_seed=1,58,78,4
0,4,0.46153846153846156,Qwen3-1.7B_0913__curr=random__training_seed=1,36,78,4
500,1,0.925531914893617,Qwen3-1.7B_0913__curr=random__training_seed=1,261,282,2
500,2,0.5921985815602837,Qwen3-1.7B_0913__curr=random__training_seed=1,167,282,2
500,1,0.8714285714285714,Qwen3-1.7B_0913__curr=random__training_seed=1,122,140,3
500,2,0.9071428571428571,Qwen3-1.7B_0913__curr=random__training_seed=1,127,140,3
500,3,0.6642857142857143,Qwen3-1.7B_0913__curr=random__training_seed=1,93,140,3
500,1,0.8461538461538461,Qwen3-1.7B_0913__curr=random__training_seed=1,66,78,4
500,2,0.8076923076923077,Qwen3-1.7B_0913__curr=random__training_seed=1,63,78,4
500,3,0.8589743589743589,Qwen3-1.7B_0913__curr=random__training_seed=1,67,78,4
500,4,0.5512820512820513,Qwen3-1.7B_0913__curr=random__training_seed=1,43,78,4
1000,1,0.9397163120567376,Qwen3-1.7B_0913__curr=random__training_seed=1,265,282,2
