experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1000,1,0.872093023255814,150,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1000,2,0.813953488372093,140,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1000,1,0.8616352201257862,137,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1000,2,0.8679245283018868,138,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1000,3,0.8364779874213837,133,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1000,1,0.7396449704142012,125,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1000,2,0.8106508875739645,137,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1000,3,0.5088757396449705,86,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1000,4,0.5207100591715976,88,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1500,1,0.872093023255814,150,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1500,2,0.8488372093023255,146,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1500,1,0.8742138364779874,139,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1500,2,0.8805031446540881,140,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1500,3,0.8364779874213837,133,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1500,1,0.7337278106508875,124,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1500,2,0.7869822485207101,133,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1500,3,0.5207100591715976,88,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,1500,4,0.4970414201183432,84,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2000,1,0.8604651162790697,148,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2000,2,0.8197674418604651,141,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2000,1,0.8805031446540881,140,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2000,2,0.8867924528301887,141,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2000,3,0.8364779874213837,133,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2000,1,0.6923076923076923,117,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2000,2,0.7633136094674556,129,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2000,3,0.5029585798816568,85,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2000,4,0.5029585798816568,85,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2500,1,0.8546511627906976,147,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2500,2,0.8255813953488372,142,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2500,1,0.8867924528301887,141,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2500,2,0.8616352201257862,137,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2500,3,0.8490566037735849,135,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2500,1,0.7041420118343196,119,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2500,2,0.727810650887574,123,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2500,3,0.4911242603550296,83,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,2500,4,0.5266272189349113,89,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3000,1,0.872093023255814,150,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3000,2,0.8313953488372093,143,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3000,1,0.8427672955974843,134,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3000,2,0.8490566037735849,135,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3000,3,0.8490566037735849,135,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3000,1,0.7159763313609467,121,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3000,2,0.7751479289940828,131,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3000,3,0.4970414201183432,84,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3000,4,0.5088757396449705,86,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3500,1,0.8488372093023255,146,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3500,2,0.8023255813953488,138,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3500,1,0.8679245283018868,138,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3500,2,0.8616352201257862,137,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3500,3,0.8427672955974843,134,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3500,1,0.7041420118343196,119,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3500,2,0.7514792899408284,127,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3500,3,0.5088757396449705,86,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,3500,4,0.5088757396449705,86,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4000,1,0.877906976744186,151,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4000,2,0.8430232558139535,145,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4000,1,0.8742138364779874,139,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4000,2,0.8679245283018868,138,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4000,3,0.8616352201257862,137,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4000,1,0.7100591715976331,120,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4000,2,0.7988165680473372,135,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4000,3,0.5207100591715976,88,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4000,4,0.5088757396449705,86,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4500,1,0.8604651162790697,148,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4500,2,0.813953488372093,140,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4500,1,0.8930817610062893,142,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4500,2,0.8742138364779874,139,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4500,3,0.8679245283018868,138,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4500,1,0.6923076923076923,117,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4500,2,0.7455621301775148,126,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4500,3,0.514792899408284,87,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,4500,4,0.5207100591715976,88,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,5000,1,0.8488372093023255,146,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,5000,2,0.8023255813953488,138,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,5000,1,0.8867924528301887,141,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,5000,2,0.8679245283018868,138,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,5000,3,0.8805031446540881,140,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,5000,1,0.7396449704142012,125,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,5000,2,0.757396449704142,128,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,5000,3,0.514792899408284,87,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,5000,4,0.514792899408284,87,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,0,1,0.22093023255813954,38,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,0,2,0.37790697674418605,65,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,0,1,0.06918238993710692,11,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,0,2,0.05660377358490566,9,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,0,3,0.29559748427672955,47,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,0,1,0.05917159763313609,10,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,0,2,0.05917159763313609,10,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,0,3,0.047337278106508875,8,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,0,4,0.20710059171597633,35,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,500,1,0.18604651162790697,32,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,500,2,0.46511627906976744,80,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,500,1,0.0880503144654088,14,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,500,2,0.05660377358490566,9,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,500,3,0.32075471698113206,51,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,500,1,0.08284023668639054,14,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,500,2,0.05325443786982249,9,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,500,3,0.0650887573964497,11,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,500,4,0.20710059171597633,35,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1000,1,0.20348837209302326,35,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1000,2,0.436046511627907,75,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1000,1,0.050314465408805034,8,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1000,2,0.0440251572327044,7,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1000,3,0.3081761006289308,49,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1000,1,0.08875739644970414,15,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1000,2,0.07100591715976332,12,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1000,3,0.07692307692307693,13,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1000,4,0.16568047337278108,28,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1500,1,0.20930232558139536,36,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1500,2,0.4418604651162791,76,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1500,1,0.12578616352201258,20,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1500,2,0.09433962264150944,15,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1500,3,0.37735849056603776,60,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1500,1,0.10059171597633136,17,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1500,2,0.10650887573964497,18,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1500,3,0.09467455621301775,16,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,1500,4,0.21301775147928995,36,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2000,1,0.25,43,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2000,2,0.4883720930232558,84,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2000,1,0.05660377358490566,9,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2000,2,0.07547169811320754,12,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2000,3,0.36477987421383645,58,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2000,1,0.13609467455621302,23,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2000,2,0.13609467455621302,23,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2000,3,0.1242603550295858,21,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2000,4,0.25443786982248523,43,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2500,1,0.21511627906976744,37,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2500,2,0.47674418604651164,82,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2500,1,0.10062893081761007,16,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2500,2,0.0880503144654088,14,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2500,3,0.3836477987421384,61,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2500,1,0.13609467455621302,23,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2500,2,0.14792899408284024,25,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2500,3,0.1301775147928994,22,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,2500,4,0.1893491124260355,32,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3000,1,0.19186046511627908,33,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3000,2,0.47093023255813954,81,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3000,1,0.11320754716981132,18,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3000,2,0.08176100628930817,13,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3000,3,0.3333333333333333,53,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3000,1,0.17159763313609466,29,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3000,2,0.11834319526627218,20,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3000,3,0.14201183431952663,24,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3000,4,0.16568047337278108,28,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3500,1,0.20348837209302326,35,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3500,2,0.4476744186046512,77,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3500,1,0.11320754716981132,18,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3500,2,0.10062893081761007,16,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3500,3,0.33962264150943394,54,159,3
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3500,1,0.11242603550295859,19,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3500,2,0.07692307692307693,13,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3500,3,0.09467455621301775,16,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,3500,4,0.17159763313609466,29,169,4
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,4000,1,0.20348837209302326,35,172,2
Qwen/Qwen2.5-1.5B-Instruct/0912__curr=random__training_seed=1,4000,2,0.45930232558139533,79,172,2
