experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1000,3,0.8076923076923077,63,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1000,4,0.4358974358974359,34,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1500,1,0.9219858156028369,260,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1500,2,0.6099290780141844,172,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1500,1,0.8928571428571429,125,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1500,2,0.8857142857142857,124,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1500,3,0.5785714285714286,81,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1500,1,0.8589743589743589,67,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1500,2,0.7692307692307693,60,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1500,3,0.8205128205128205,64,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1500,4,0.47435897435897434,37,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2000,1,0.9361702127659575,264,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2000,2,0.6170212765957447,174,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2000,1,0.9,126,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2000,2,0.85,119,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2000,3,0.5857142857142857,82,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2000,1,0.8461538461538461,66,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2000,2,0.7564102564102564,59,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2000,3,0.782051282051282,61,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2000,4,0.47435897435897434,37,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2500,1,0.9361702127659575,264,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2500,2,0.6205673758865248,175,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2500,1,0.8785714285714286,123,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2500,2,0.8714285714285714,122,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2500,3,0.6142857142857143,86,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2500,1,0.8205128205128205,64,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2500,2,0.7307692307692307,57,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2500,3,0.7692307692307693,60,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,2500,4,0.48717948717948717,38,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3000,1,0.9219858156028369,260,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3000,2,0.6347517730496454,179,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3000,1,0.8785714285714286,123,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3000,2,0.8642857142857143,121,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3000,3,0.5428571428571428,76,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3000,1,0.8333333333333334,65,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3000,2,0.7692307692307693,60,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3000,3,0.782051282051282,61,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3000,4,0.3974358974358974,31,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3500,1,0.9397163120567376,265,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3500,2,0.6063829787234043,171,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3500,1,0.9142857142857143,128,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3500,2,0.8857142857142857,124,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3500,3,0.5642857142857143,79,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3500,1,0.8846153846153846,69,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3500,2,0.7051282051282052,55,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3500,3,0.7564102564102564,59,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,3500,4,0.44871794871794873,35,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4000,1,0.9361702127659575,264,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4000,2,0.6347517730496454,179,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4000,1,0.8928571428571429,125,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4000,2,0.8642857142857143,121,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4000,3,0.55,77,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4000,1,0.8461538461538461,66,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4000,2,0.7692307692307693,60,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4000,3,0.8205128205128205,64,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4000,4,0.47435897435897434,37,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4500,1,0.9361702127659575,264,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4500,2,0.624113475177305,176,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4500,1,0.9071428571428571,127,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4500,2,0.8928571428571429,125,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4500,3,0.6,84,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4500,1,0.8589743589743589,67,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4500,2,0.7948717948717948,62,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4500,3,0.7692307692307693,60,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,4500,4,0.44871794871794873,35,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5000,1,0.9361702127659575,264,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5000,2,0.6099290780141844,172,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5000,1,0.8928571428571429,125,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5000,2,0.8714285714285714,122,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5000,3,0.5285714285714286,74,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5000,1,0.8589743589743589,67,78,4
