experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1500,4,0.5897435897435898,46,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2000,1,0.9219858156028369,260,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2000,2,0.6382978723404256,180,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2000,1,0.9071428571428571,127,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2000,2,0.9071428571428571,127,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2000,3,0.6428571428571429,90,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2000,1,0.8589743589743589,67,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2000,2,0.782051282051282,61,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2000,3,0.8333333333333334,65,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2000,4,0.5769230769230769,45,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2500,1,0.9184397163120568,259,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2500,2,0.624113475177305,176,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2500,1,0.9214285714285714,129,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2500,2,0.8571428571428571,120,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2500,3,0.6928571428571428,97,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2500,1,0.8076923076923077,63,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2500,2,0.8076923076923077,63,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2500,3,0.8076923076923077,63,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,2500,4,0.5897435897435898,46,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3000,1,0.9290780141843972,262,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3000,2,0.6099290780141844,172,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3000,1,0.9428571428571428,132,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3000,2,0.9571428571428572,134,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3000,3,0.7214285714285714,101,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3000,1,0.8589743589743589,67,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3000,2,0.8846153846153846,69,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3000,3,0.8333333333333334,65,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3000,4,0.5641025641025641,44,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3500,1,0.9290780141843972,262,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3500,2,0.6312056737588653,178,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3500,1,0.9214285714285714,129,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3500,2,0.9142857142857143,128,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3500,3,0.6785714285714286,95,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3500,1,0.8589743589743589,67,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3500,2,0.7564102564102564,59,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3500,3,0.8461538461538461,66,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,3500,4,0.6025641025641025,47,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4000,1,0.9361702127659575,264,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4000,2,0.6312056737588653,178,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4000,1,0.9285714285714286,130,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4000,2,0.9142857142857143,128,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4000,3,0.6714285714285714,94,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4000,1,0.9358974358974359,73,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4000,2,0.8205128205128205,64,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4000,3,0.8333333333333334,65,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4000,4,0.6538461538461539,51,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4500,1,0.9432624113475178,266,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4500,2,0.624113475177305,176,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4500,1,0.9428571428571428,132,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4500,2,0.9428571428571428,132,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4500,3,0.6857142857142857,96,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4500,1,0.9102564102564102,71,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4500,2,0.782051282051282,61,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4500,3,0.8461538461538461,66,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,4500,4,0.5256410256410257,41,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,5000,1,0.9361702127659575,264,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,5000,2,0.624113475177305,176,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,5000,1,0.9214285714285714,129,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,5000,2,0.9285714285714286,130,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,5000,3,0.7571428571428571,106,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,5000,1,0.8205128205128205,64,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,5000,2,0.8205128205128205,64,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,5000,3,0.7948717948717948,62,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,5000,4,0.5128205128205128,40,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,10000,1,0.925531914893617,261,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,10000,2,0.624113475177305,176,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,10000,1,0.9142857142857143,128,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,10000,2,0.9142857142857143,128,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,10000,3,0.6428571428571429,90,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,10000,1,0.8333333333333334,65,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,10000,2,0.8333333333333334,65,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,10000,3,0.8333333333333334,65,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,10000,4,0.5128205128205128,40,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,1,0.2730496453900709,77,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,2,0.1879432624113475,53,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,1,0.07857142857142857,11,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,2,0.17142857142857143,24,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,3,0.14285714285714285,20,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,1,0.14102564102564102,11,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,2,0.10256410256410256,8,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,3,0.07692307692307693,6,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,0,4,0.10256410256410256,8,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,500,1,0.19858156028368795,56,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,500,2,0.1879432624113475,53,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,500,1,0.05,7,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,500,2,0.07857142857142857,11,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,500,3,0.22857142857142856,32,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,500,1,0.0641025641025641,5,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,500,2,0.02564102564102564,2,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,500,3,0.11538461538461539,9,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,500,4,0.24358974358974358,19,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1000,1,0.18085106382978725,51,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1000,2,0.1702127659574468,48,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1000,1,0.04285714285714286,6,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1000,2,0.07142857142857142,10,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1000,3,0.21428571428571427,30,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1000,1,0.038461538461538464,3,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1000,2,0.02564102564102564,2,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1000,3,0.14102564102564102,11,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1000,4,0.20512820512820512,16,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1500,1,0.1773049645390071,50,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1500,2,0.19858156028368795,56,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1500,1,0.05,7,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1500,2,0.07142857142857142,10,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1500,3,0.2357142857142857,33,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1500,1,0.0641025641025641,5,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1500,2,0.0,0,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1500,3,0.08974358974358974,7,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,1500,4,0.21794871794871795,17,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2000,1,0.19858156028368795,56,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2000,2,0.19148936170212766,54,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2000,1,0.04285714285714286,6,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2000,2,0.07857142857142857,11,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2000,3,0.24285714285714285,34,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2000,1,0.05128205128205128,4,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2000,2,0.02564102564102564,2,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2000,3,0.10256410256410256,8,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2000,4,0.1794871794871795,14,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2500,1,0.17375886524822695,49,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2500,2,0.21631205673758866,61,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2500,1,0.03571428571428571,5,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2500,2,0.06428571428571428,9,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2500,3,0.2357142857142857,33,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2500,1,0.038461538461538464,3,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2500,2,0.01282051282051282,1,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2500,3,0.08974358974358974,7,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,2500,4,0.20512820512820512,16,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3000,1,0.16666666666666666,47,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3000,2,0.21631205673758866,61,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3000,1,0.05714285714285714,8,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3000,2,0.07142857142857142,10,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3000,3,0.25,35,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3000,1,0.038461538461538464,3,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3000,2,0.0,0,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3000,3,0.0641025641025641,5,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3000,4,0.21794871794871795,17,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3500,1,0.1595744680851064,45,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3500,2,0.19148936170212766,54,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3500,1,0.03571428571428571,5,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3500,2,0.05714285714285714,8,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3500,3,0.24285714285714285,34,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3500,1,0.02564102564102564,2,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3500,2,0.0,0,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3500,3,0.10256410256410256,8,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,3500,4,0.19230769230769232,15,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4000,1,0.16666666666666666,47,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4000,2,0.19148936170212766,54,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4000,1,0.04285714285714286,6,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4000,2,0.05714285714285714,8,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4000,3,0.25,35,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4000,1,0.038461538461538464,3,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4000,2,0.0,0,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4000,3,0.08974358974358974,7,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,4000,4,0.19230769230769232,15,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10000,1,0.1702127659574468,48,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10000,2,0.1950354609929078,55,282,2
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10000,1,0.03571428571428571,5,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10000,2,0.05,7,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10000,3,0.24285714285714285,34,140,3
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10000,1,0.038461538461538464,3,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10000,2,0.0,0,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10000,3,0.10256410256410256,8,78,4
Qwen2.5-1.5B-Instruct_0912__curr=random__training_seed=1,10000,4,0.20512820512820512,16,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,0,1,0.7659574468085106,216,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,0,2,0.2730496453900709,77,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,0,1,0.7857142857142857,110,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,0,2,0.6357142857142857,89,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,0,3,0.29285714285714287,41,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,0,1,0.6794871794871795,53,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,0,2,0.5,39,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,0,3,0.5256410256410257,41,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,0,4,0.19230769230769232,15,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,500,1,0.8617021276595744,243,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,500,2,0.41134751773049644,116,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,500,1,0.7928571428571428,111,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,500,2,0.7214285714285714,101,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,500,3,0.37142857142857144,52,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,500,1,0.7564102564102564,59,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,500,2,0.6282051282051282,49,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,500,3,0.6410256410256411,50,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,500,4,0.32051282051282054,25,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,1000,1,0.8687943262411347,245,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,1000,2,0.4645390070921986,131,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,1000,1,0.8071428571428572,113,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,1000,2,0.7571428571428571,106,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,1000,3,0.4857142857142857,68,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,1000,1,0.7435897435897436,58,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,1000,2,0.5897435897435898,46,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,1000,3,0.7051282051282052,55,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,1000,4,0.3076923076923077,24,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,1500,1,0.8439716312056738,238,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,1500,2,0.4574468085106383,129,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,1500,1,0.7857142857142857,110,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,1500,2,0.7428571428571429,104,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,1500,3,0.39285714285714285,55,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,1500,1,0.7435897435897436,58,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,1500,2,0.5256410256410257,41,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,1500,3,0.6282051282051282,49,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,1500,4,0.3333333333333333,26,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,2000,1,0.8617021276595744,243,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,2000,2,0.46099290780141844,130,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,2000,1,0.7714285714285715,108,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,2000,2,0.7,98,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,2000,3,0.42142857142857143,59,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,2000,1,0.717948717948718,56,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,2000,2,0.5769230769230769,45,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,2000,3,0.6153846153846154,48,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,2000,4,0.41025641025641024,32,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,2500,1,0.8262411347517731,233,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,2500,2,0.41843971631205673,118,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,2500,1,0.8071428571428572,113,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,2500,2,0.6357142857142857,89,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,2500,3,0.37142857142857144,52,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,2500,1,0.6923076923076923,54,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,2500,2,0.5384615384615384,42,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,2500,3,0.5641025641025641,44,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,2500,4,0.34615384615384615,27,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,3000,1,0.8546099290780141,241,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,3000,2,0.4432624113475177,125,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,3000,1,0.8142857142857143,114,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,3000,2,0.7071428571428572,99,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,3000,3,0.4142857142857143,58,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,3000,1,0.8076923076923077,63,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,3000,2,0.6025641025641025,47,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,3000,3,0.6410256410256411,50,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,3000,4,0.358974358974359,28,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,3500,1,0.900709219858156,254,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,3500,2,0.5106382978723404,144,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,3500,1,0.8571428571428571,120,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,3500,2,0.7571428571428571,106,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,3500,3,0.45714285714285713,64,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,3500,1,0.8205128205128205,64,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,3500,2,0.6794871794871795,53,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,3500,3,0.7051282051282052,55,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,3500,4,0.5512820512820513,43,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,4000,1,0.9078014184397163,256,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,4000,2,0.5460992907801419,154,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,4000,1,0.8857142857142857,124,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,4000,2,0.8,112,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,4000,3,0.4928571428571429,69,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,4000,1,0.7692307692307693,60,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,4000,2,0.6153846153846154,48,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,4000,3,0.6923076923076923,54,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,4000,4,0.47435897435897434,37,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,10000,1,0.9078014184397163,256,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,10000,2,0.5035460992907801,142,282,2
Qwen3-0.6B_0913__curr=random__training_seed=1,10000,1,0.8785714285714286,123,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,10000,2,0.7857142857142857,110,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,10000,3,0.45,63,140,3
Qwen3-0.6B_0913__curr=random__training_seed=1,10000,1,0.8461538461538461,66,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,10000,2,0.6666666666666666,52,78,4
Qwen3-0.6B_0913__curr=random__training_seed=1,10000,3,0.7564102564102564,59,78,4
